,date,year,load,load_predict
20784,2006-11-27,2024,7030.2,6249.344811409214
20785,2006-11-28,2024,7107.5,6147.227721507585
20786,2006-11-29,2024,7123.1,6361.320131291839
20787,2006-11-30,2024,7218.1,6327.5623136097165
20788,2006-12-01,2024,7206.8,6298.070559998412
20789,2006-12-02,2024,6147.8,5787.227618294593
20790,2006-12-03,2024,6184.3,5497.539373533
20791,2006-12-04,2024,7315.4,6325.324495367076
20792,2006-12-05,2024,7336.0,6470.365581084296
20793,2006-12-06,2024,7283.9,6319.634378179782
20794,2006-12-07,2024,7226.5,6519.764885324293
20795,2006-12-08,2024,7583.1,6335.865351796574
20796,2006-12-09,2024,6602.9,5542.971126705623
20797,2006-12-10,2024,6294.1,5683.083050822484
20798,2006-12-11,2024,7220.6,6275.640414103472
20799,2006-12-12,2024,7252.0,6342.208005531039
20800,2006-12-13,2024,7290.9,6583.908817884845
20801,2006-12-14,2024,7190.4,6476.629349153741
20802,2006-12-15,2024,7091.9,6344.734005935801
20803,2006-12-16,2024,6345.2,5981.187202197215
20804,2006-12-17,2024,6249.4,5945.53644110632
20805,2006-12-18,2024,7259.5,6457.591643172857
20806,2006-12-19,2024,7215.5,6356.994109992334
20807,2006-12-20,2024,7306.5,6502.448527921644
20808,2006-12-21,2024,7142.9,6306.810520174986
20809,2006-12-22,2024,6955.1,6299.370382179052
20810,2006-12-23,2024,6097.6,5658.069164302223
20811,2006-12-24,2024,5913.6,5614.652093277993
20812,2006-12-25,2024,5744.1,5679.184531433417
20813,2006-12-26,2024,6860.0,6275.7374651470855
20814,2006-12-27,2024,6989.5,6428.234529902863
20815,2006-12-28,2024,6995.0,6535.783148121638
20816,2006-12-29,2024,6775.3,6326.257249431769
20817,2006-12-30,2024,6159.1,5848.130856254571
20818,2006-12-31,2024,6255.2,5890.636775636615
20819,2007-01-01,2024,6053.2,5767.476013231698
20820,2007-01-02,2024,7052.0,6149.942920234065
20821,2007-01-03,2024,7062.2,6204.853965729932
20822,2007-01-04,2024,7040.9,6129.873207956333
20823,2007-01-05,2024,7042.8,6287.995864274067
20824,2007-01-06,2024,6083.7,6067.466081904
20825,2007-01-07,2024,6044.5,5746.3033597292015
20826,2007-01-08,2024,7042.8,6457.22301145291
20827,2007-01-09,2024,7114.7,6512.779448713783
20828,2007-01-10,2024,7272.3,6426.07806099313
20829,2007-01-11,2024,7218.0,6610.588365097141
20830,2007-01-12,2024,6990.6,6400.724582022874
20831,2007-01-13,2024,6121.6,5868.850412224007
20832,2007-01-14,2024,6005.5,5847.623489462922
20833,2007-01-15,2024,6751.8,6090.609546805373
20834,2007-01-16,2024,7254.0,6593.099340315453
20835,2007-01-17,2024,7404.6,6623.680321282119
20836,2007-01-18,2024,7335.9,6399.662575911372
20837,2007-01-19,2024,7148.9,6344.733191346662
20838,2007-01-20,2024,6475.2,5926.361395579554
20839,2007-01-21,2024,6467.6,5901.5705230587955
20840,2007-01-22,2024,7359.3,6689.566771238384
20841,2007-01-23,2024,7285.2,6528.1127025733795
20842,2007-01-24,2024,7270.6,6674.969213226803
20843,2007-01-25,2024,7377.8,6610.793226550146
20844,2007-01-26,2024,7584.1,6800.138528158432
20845,2007-01-27,2024,6551.8,6089.537476290979
20846,2007-01-28,2024,6246.4,5931.0372448097405
20847,2007-01-29,2024,7496.5,6515.5420546096975
20848,2007-01-30,2024,7376.9,6283.3090457751405
20849,2007-01-31,2024,7444.4,6434.942734284223
20850,2007-02-01,2024,7415.4,6264.744731473683
20851,2007-02-02,2024,7172.7,6236.941156796626
20852,2007-02-03,2024,6530.5,5849.377200349255
20853,2007-02-04,2024,6595.2,5811.5185334776725
20854,2007-02-05,2024,7784.8,6612.191062914414
20855,2007-02-06,2024,7714.0,6572.03196118212
20856,2007-02-07,2024,7634.9,6400.795859810125
20857,2007-02-08,2024,7565.5,6345.975561747476
20858,2007-02-09,2024,7406.6,6158.678309236347
20859,2007-02-10,2024,6562.2,5766.279619702403
20860,2007-02-11,2024,6511.8,5704.9132235258485
20861,2007-02-12,2024,7271.2,6165.4114470115355
20862,2007-02-13,2024,7510.6,6337.386705708232
20863,2007-02-14,2024,7517.3,6265.244440582194
20864,2007-02-15,2024,7551.3,6298.099172705837
20865,2007-02-16,2024,7379.5,6161.820494705313
20866,2007-02-17,2024,6467.4,5597.428303525926
20867,2007-02-18,2024,6370.2,5601.404924707893
20868,2007-02-19,2024,6906.4,5918.835561836004
20869,2007-02-20,2024,7097.8,6148.405407876232
20870,2007-02-21,2024,6932.0,6111.611825271255
20871,2007-02-22,2024,7001.9,6120.308517524946
20872,2007-02-23,2024,7064.3,6148.211405239145
20873,2007-02-24,2024,6295.3,5402.071657413367
20874,2007-02-25,2024,6354.3,5873.772361315326
20875,2007-02-26,2024,7247.1,6220.809850979821
20876,2007-02-27,2024,7128.0,6041.844361885432
20877,2007-02-28,2024,6911.6,5950.346787798966
20878,2007-03-01,2024,7014.3,5934.862554473913
20879,2007-03-02,2024,6943.5,5905.04570009098
20880,2007-03-03,2024,5996.3,5529.099201022924
20881,2007-03-04,2024,6214.6,5463.10728344645
20882,2007-03-05,2024,7157.9,6178.835786782586
20883,2007-03-06,2024,7568.5,6141.980313148487
20884,2007-03-07,2024,7490.7,6123.405597789271
20885,2007-03-08,2024,7410.8,6239.741584197856
20886,2007-03-09,2024,7148.2,5901.15577620677
20887,2007-03-10,2024,6156.6,5322.952665612384
20888,2007-03-11,2024,5975.9,5392.168028619814
20889,2007-03-12,2024,6653.2,5799.860579963506
20890,2007-03-13,2024,6606.4,5778.311641066232
20891,2007-03-14,2024,6590.1,5771.2850528291965
20892,2007-03-15,2024,6745.4,5894.487917884066
20893,2007-03-16,2024,7027.5,6000.949403825107
20894,2007-03-17,2024,6294.9,5506.816841660118
20895,2007-03-18,2024,6201.9,5473.728355205761
20896,2007-03-19,2024,6909.1,6012.107760515159
20897,2007-03-20,2024,6715.7,5897.193518339642
20898,2007-03-21,2024,6845.6,5866.493664717756
20899,2007-03-22,2024,6785.4,5831.944274152682
20900,2007-03-23,2024,6653.3,5781.105368074684
20901,2007-03-24,2024,5789.8,5253.049501295407
20902,2007-03-25,2024,5792.2,5256.3899048181975
20903,2007-03-26,2024,6591.5,5945.803055670601
20904,2007-03-27,2024,6716.2,5847.978597813538
20905,2007-03-28,2024,6533.4,5870.7867146424605
20906,2007-03-29,2024,6537.9,5805.040128989526
20907,2007-03-30,2024,6490.6,5906.80193909861
20908,2007-03-31,2024,5704.2,5259.122309544244
20909,2007-04-01,2024,5789.5,5152.9967936634
20910,2007-04-02,2024,6596.7,5641.091726173065
20911,2007-04-03,2024,6422.2,5641.417004728815
20912,2007-04-04,2024,6818.6,5771.511194335105
20913,2007-04-05,2024,6587.1,5611.441055836791
20914,2007-04-06,2024,6378.3,5616.692609740145
20915,2007-04-07,2024,5827.8,5201.727654498537
20916,2007-04-08,2024,5708.1,5240.730815632078
20917,2007-04-09,2024,6533.7,5571.789118674884
20918,2007-04-10,2024,6536.4,5693.240587304885
